  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      9.4041E-03      1.3880E+00      1.3676E+00      1.7483E+00      5.5292E-03      6.2114E+01      1.3039E+02      1.0000E+00
      1.0911E-02      1.4593E+00      1.1685E+00      1.9168E+00      7.1730E-03      6.6458E+01      1.1643E+02      1.0000E+00
      9.4029E-03      1.3876E+00      1.3676E+00      1.7487E+00      5.5273E-03      6.2135E+01      1.3038E+02      1.0000E+00
      1.0912E-02      1.4576E+00      1.1682E+00      1.9163E+00      7.1819E-03      6.6486E+01      1.1635E+02      1.0000E+00
      1.6737E-02      1.0047E+00      1.0012E+00      1.0073E+00      1.6619E-02      8.7530E+01      9.2859E+01      1.0000E+00
      2.1652E-02      1.1888E+00      1.1105E+00      1.3217E+00      1.7374E-02      7.0557E+01      1.1480E+02      1.0000E+00
      2.1671E-02      1.1911E+00      1.1102E+00      1.3239E+00      1.7372E-02      7.0558E+01      1.1479E+02      1.0000E+00
      2.3849E-02      1.0455E+00      1.0289E+00      1.0602E+00      2.2220E-02      8.0206E+01      1.0362E+02      1.0000E+00
      2.5071E-02      1.2286E+00      1.1314E+00      1.4233E+00      1.7586E-02      7.4659E+01      1.1740E+02      1.0000E+00
      2.9550E-02      1.1340E+00      1.0787E+00      1.1957E+00      2.5473E-02      6.7988E+01      1.0453E+02      1.0000E+00
      2.4350E-02      1.2366E+00      1.1309E+00      1.5108E+00      1.6585E-02      7.5716E+01      1.1641E+02      1.0000E+00
      2.5249E-02      1.2232E+00      1.1303E+00      1.4220E+00      1.7852E-02      7.4436E+01      1.1716E+02      1.0000E+00
      2.9743E-02      1.1295E+00      1.0760E+00      1.1935E+00      2.5541E-02      6.8330E+01      1.0383E+02      1.0000E+00
      2.5320E-02      1.2226E+00      1.1295E+00      1.4221E+00      1.7891E-02      7.4575E+01      1.1709E+02      1.0000E+00
      2.3947E-02      1.0456E+00      1.0312E+00      1.0576E+00      2.2358E-02      7.9545E+01      1.0412E+02      1.0000E+00
