  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      1.5667E-02      1.0016E+00      1.0000E+00      1.0030E+00      1.5660E-02      8.9807E+01      9.0181E+01      1.0000E+00
      1.5598E-02      1.0014E+00      1.0000E+00      1.0031E+00      1.5588E-02      8.9827E+01      9.0189E+01      1.0000E+00
      1.5573E-02      1.0025E+00      1.0000E+00      1.0054E+00      1.5561E-02      8.9906E+01      9.0115E+01      1.0000E+00
      1.5624E-02      1.0023E+00      1.0000E+00      1.0043E+00      1.5615E-02      8.9849E+01      9.0129E+01      1.0000E+00
      1.5588E-02      1.0026E+00      1.0000E+00      1.0053E+00      1.5578E-02      8.9930E+01      9.0036E+01      1.0000E+00
      1.5580E-02      1.0003E+00      1.0000E+00      1.0006E+00      1.5573E-02      8.9881E+01      9.0144E+01      1.0000E+00
      1.5561E-02      1.0010E+00      1.0000E+00      1.0024E+00      1.5552E-02      8.9925E+01      9.0089E+01      1.0000E+00
      1.5565E-02      1.0009E+00      1.0000E+00      1.0021E+00      1.5558E-02      8.9947E+01      9.0060E+01      1.0000E+00
      1.5552E-02      1.0002E+00      1.0000E+00      1.0004E+00      1.5547E-02      8.9979E+01      9.0038E+01      1.0000E+00
      1.5588E-02      1.0026E+00      1.0000E+00      1.0053E+00      1.5578E-02      8.9930E+01      9.0036E+01      1.0000E+00
      1.5624E-02      1.0023E+00      1.0000E+00      1.0043E+00      1.5615E-02      8.9849E+01      9.0129E+01      1.0000E+00
      1.5667E-02      1.0016E+00      1.0000E+00      1.0030E+00      1.5660E-02      8.9807E+01      9.0181E+01      1.0000E+00
      1.5565E-02      1.0009E+00      1.0000E+00      1.0021E+00      1.5558E-02      8.9947E+01      9.0060E+01      1.0000E+00
      1.5580E-02      1.0003E+00      1.0000E+00      1.0006E+00      1.5573E-02      8.9881E+01      9.0144E+01      1.0000E+00
      1.5552E-02      1.0002E+00      1.0000E+00      1.0004E+00      1.5547E-02      8.9979E+01      9.0038E+01      1.0000E+00
      1.5561E-02      1.0010E+00      1.0000E+00      1.0024E+00      1.5552E-02      8.9925E+01      9.0089E+01      1.0000E+00
      1.5598E-02      1.0014E+00      1.0000E+00      1.0031E+00      1.5588E-02      8.9827E+01      9.0189E+01      1.0000E+00
      1.5573E-02      1.0025E+00      1.0000E+00      1.0054E+00      1.5561E-02      8.9906E+01      9.0115E+01      1.0000E+00
      1.5573E-02      1.0025E+00      1.0000E+00      1.0054E+00      1.5561E-02      8.9906E+01      9.0115E+01      1.0000E+00
      1.5598E-02      1.0014E+00      1.0000E+00      1.0031E+00      1.5588E-02      8.9827E+01      9.0189E+01      1.0000E+00
      1.5561E-02      1.0010E+00      1.0000E+00      1.0024E+00      1.5552E-02      8.9925E+01      9.0089E+01      1.0000E+00
      1.5552E-02      1.0002E+00      1.0000E+00      1.0004E+00      1.5547E-02      8.9979E+01      9.0038E+01      1.0000E+00
      1.5580E-02      1.0003E+00      1.0000E+00      1.0006E+00      1.5573E-02      8.9881E+01      9.0144E+01      1.0000E+00
      1.5565E-02      1.0009E+00      1.0000E+00      1.0021E+00      1.5558E-02      8.9947E+01      9.0060E+01      1.0000E+00
      1.5667E-02      1.0016E+00      1.0000E+00      1.0030E+00      1.5660E-02      8.9807E+01      9.0181E+01      1.0000E+00
      1.5624E-02      1.0023E+00      1.0000E+00      1.0043E+00      1.5615E-02      8.9849E+01      9.0129E+01      1.0000E+00
      1.5588E-02      1.0026E+00      1.0000E+00      1.0053E+00      1.5578E-02      8.9930E+01      9.0036E+01      1.0000E+00
      1.5552E-02      1.0002E+00      1.0000E+00      1.0004E+00      1.5547E-02      8.9979E+01      9.0038E+01      1.0000E+00
      1.5565E-02      1.0009E+00      1.0000E+00      1.0021E+00      1.5558E-02      8.9947E+01      9.0060E+01      1.0000E+00
      1.5561E-02      1.0010E+00      1.0000E+00      1.0024E+00      1.5552E-02      8.9925E+01      9.0089E+01      1.0000E+00
      1.5580E-02      1.0003E+00      1.0000E+00      1.0006E+00      1.5573E-02      8.9881E+01      9.0144E+01      1.0000E+00
      1.5588E-02      1.0026E+00      1.0000E+00      1.0053E+00      1.5578E-02      8.9930E+01      9.0036E+01      1.0000E+00
      1.5624E-02      1.0023E+00      1.0000E+00      1.0043E+00      1.5615E-02      8.9849E+01      9.0129E+01      1.0000E+00
      1.5573E-02      1.0025E+00      1.0000E+00      1.0054E+00      1.5561E-02      8.9906E+01      9.0115E+01      1.0000E+00
      1.5598E-02      1.0014E+00      1.0000E+00      1.0031E+00      1.5588E-02      8.9827E+01      9.0189E+01      1.0000E+00
      1.5667E-02      1.0016E+00      1.0000E+00      1.0030E+00      1.5660E-02      8.9807E+01      9.0181E+01      1.0000E+00
      1.5735E-02      1.0050E+00      1.0000E+00      1.0086E+00      1.5713E-02      8.9824E+01      9.0168E+01      1.0000E+00
      1.5817E-02      1.0064E+00      1.0001E+00      1.0109E+00      1.5783E-02      8.9771E+01      9.0248E+01      1.0000E+00
      1.5698E-02      1.0008E+00      1.0000E+00      1.0015E+00      1.5696E-02      8.9763E+01      9.0232E+01      1.0000E+00
