  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      7.8608E-04      1.0516E+00      1.0030E+00      1.1034E+00      7.3340E-04      8.6362E+01      9.4055E+01      1.0000E+00
      7.3377E-04      1.3485E+00      1.2210E+00      1.7692E+00      4.9817E-04      6.4827E+01      1.1946E+02      1.0000E+00
      9.5630E-04      1.0484E+00      1.0029E+00      1.0996E+00      8.9255E-04      8.5871E+01      9.3512E+01      1.0000E+00
      1.0803E-03      1.0327E+00      1.0026E+00      1.0738E+00      1.0223E-03      8.6914E+01      9.3054E+01      1.0000E+00
      1.0251E-03      1.1515E+00      1.0827E+00      1.3562E+00      8.4452E-04      6.9482E+01      1.0480E+02      1.0000E+00
      2.1446E-03      1.5571E+00      1.5976E+00      1.8576E+00      1.0956E-03      5.4856E+01      1.3976E+02      1.0000E+00
      1.4194E-03      1.4205E+00      1.2839E+00      1.9062E+00      8.9444E-04      5.4656E+01      1.1544E+02      1.0000E+00
      3.8026E-03      1.1371E+00      1.0626E+00      1.3366E+00      3.1426E-03      7.2544E+01      1.0325E+02      1.0000E+00
      3.4307E-03      1.0350E+00      1.0066E+00      1.0984E+00      3.2906E-03      8.5480E+01      9.3796E+01      1.0000E+00
      1.0715E-03      1.0373E+00      1.0036E+00      1.0660E+00      1.0292E-03      8.5470E+01      9.2737E+01      1.0000E+00
      9.8815E-04      1.0292E+00      1.0024E+00      1.0522E+00      9.5783E-04      8.6763E+01      9.3813E+01      1.0000E+00
      1.3326E-03      1.4813E+00      1.3733E+00      2.0198E+00      8.3009E-04      5.2115E+01      1.2082E+02      1.0000E+00
      8.1081E-04      1.1016E+00      1.0282E+00      1.2368E+00      6.9842E-04      8.5031E+01      1.0184E+02      1.0000E+00
      1.6792E-03      1.7467E+00      1.6480E+00      2.3296E+00      8.7252E-04      4.9244E+01      1.3735E+02      1.0000E+00
      9.7997E-04      1.0314E+00      1.0019E+00      1.0503E+00      9.4916E-04      8.7471E+01      9.3290E+01      1.0000E+00
      1.0461E-03      1.0488E+00      1.0037E+00      1.0802E+00      1.0130E-03      8.6566E+01      9.2640E+01      1.0000E+00
      8.0271E-04      1.0968E+00      1.0309E+00      1.2309E+00      6.9050E-04      8.4088E+01      1.0253E+02      1.0000E+00
      1.6382E-03      1.7227E+00      1.6057E+00      2.2891E+00      8.5131E-04      5.0644E+01      1.3665E+02      1.0000E+00
      1.2694E-03      1.4833E+00      1.3529E+00      1.9848E+00      8.0026E-04      5.2265E+01      1.2082E+02      1.0000E+00
      3.9389E-03      1.1129E+00      1.0400E+00      1.2670E+00      3.4356E-03      7.6585E+01      1.0207E+02      1.0000E+00
      3.7534E-03      1.0244E+00      1.0021E+00      1.0609E+00      3.6837E-03      8.8118E+01      9.1471E+01      1.0000E+00
      3.9526E-03      1.1139E+00      1.0386E+00      1.2714E+00      3.4416E-03      7.8368E+01      1.0269E+02      1.0000E+00
      3.9511E-03      1.0274E+00      1.0017E+00      1.0590E+00      3.9102E-03      8.9329E+01      9.0498E+01      1.0000E+00
      3.2654E-03      1.0455E+00      1.0069E+00      1.1122E+00      3.1304E-03      8.5839E+01      9.2886E+01      1.0000E+00
      3.0584E-03      1.0567E+00      1.0126E+00      1.1525E+00      2.8112E-03      8.3277E+01      9.4055E+01      1.0000E+00
      2.6580E-03      1.3642E+00      1.2111E+00      1.8525E+00      1.6384E-03      6.9585E+01      1.1964E+02      1.0000E+00
