  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      8.3190E-04      1.0306E+00      1.0049E+00      1.0921E+00      7.8388E-04      8.5752E+01      9.2604E+01      1.0000E+00
      7.2997E-04      1.3071E+00      1.1979E+00      1.8078E+00      4.8437E-04      6.9603E+01      1.1590E+02      1.0000E+00
      9.7487E-04      1.0551E+00      1.0043E+00      1.1081E+00      9.0182E-04      8.4956E+01      9.3563E+01      1.0000E+00
      1.0933E-03      1.0616E+00      1.0078E+00      1.1280E+00      1.0225E-03      8.4534E+01      9.1942E+01      1.0000E+00
      1.0364E-03      1.1963E+00      1.0877E+00      1.4195E+00      8.5222E-04      6.9158E+01      1.0248E+02      1.0000E+00
      2.1463E-03      1.5578E+00      1.5794E+00      1.7776E+00      1.1418E-03      5.4120E+01      1.3969E+02      1.0000E+00
      1.4101E-03      1.4524E+00      1.3117E+00      1.9393E+00      8.8675E-04      5.3296E+01      1.1783E+02      1.0000E+00
      3.9723E-03      1.1415E+00      1.0420E+00      1.3221E+00      3.2956E-03      7.5261E+01      1.0060E+02      1.0000E+00
      3.7015E-03      1.0148E+00      1.0009E+00      1.0358E+00      3.6469E-03      8.8059E+01      9.1453E+01      1.0000E+00
      1.1100E-03      1.0532E+00      1.0057E+00      1.1128E+00      1.0701E-03      8.8282E+01      9.2374E+01      1.0000E+00
      1.0887E-03      1.0310E+00      1.0029E+00      1.0654E+00      1.0664E-03      8.7563E+01      9.3402E+01      1.0000E+00
      1.3814E-03      1.4658E+00      1.2909E+00      1.9129E+00      8.8443E-04      5.3795E+01      1.1868E+02      1.0000E+00
      9.3467E-04      1.1378E+00      1.0676E+00      1.2739E+00      7.4504E-04      7.8348E+01      1.0999E+02      1.0000E+00
      1.7900E-03      1.6345E+00      1.4557E+00      2.2137E+00      9.9086E-04      5.4788E+01      1.3132E+02      1.0000E+00
      1.1241E-03      1.0370E+00      1.0110E+00      1.0771E+00      1.0754E-03      8.1583E+01      9.6733E+01      1.0000E+00
