  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      2.3831E-03      1.3752E+00      1.2398E+00      1.7666E+00      1.3838E-03      6.9944E+01      1.2446E+02      1.0000E+00
      3.3113E-03      1.0995E+00      1.0138E+00      1.1749E+00      2.9016E-03      8.3503E+01      9.7836E+01      1.0000E+00
      3.7946E-03      1.0710E+00      1.0066E+00      1.1111E+00      3.5650E-03      8.7157E+01      9.4260E+01      1.0000E+00
      3.6815E-03      1.2036E+00      1.1590E+00      1.2722E+00      2.7225E-03      7.1649E+01      1.2036E+02      1.0000E+00
      4.9584E-03      1.2833E+00      1.0892E+00      1.4127E+00      3.9564E-03      7.0173E+01      1.0609E+02      1.0000E+00
      4.3423E-03      1.1085E+00      1.0134E+00      1.1682E+00      4.1084E-03      8.5894E+01      9.3727E+01      1.0000E+00
      6.0856E-03      1.1481E+00      1.0516E+00      1.3548E+00      5.4305E-03      8.0040E+01      9.5681E+01      1.0000E+00
      4.8032E-03      1.1018E+00      1.0172E+00      1.2020E+00      4.6114E-03      8.8194E+01      9.2885E+01      1.0000E+00
      3.7920E-03      1.0385E+00      1.0017E+00      1.0615E+00      3.6788E-03      8.7816E+01      9.2181E+01      1.0000E+00
      3.5036E-03      1.0358E+00      1.0059E+00      1.1043E+00      3.2771E-03      8.5328E+01      9.2855E+01      1.0000E+00
      3.0823E-03      1.3125E+00      1.2046E+00      1.8159E+00      2.0373E-03      6.9087E+01      1.1643E+02      1.0000E+00
      4.1515E-03      1.0639E+00      1.0049E+00      1.0979E+00      3.9858E-03      8.7618E+01      9.2381E+01      1.0000E+00
      4.1747E-03      1.0610E+00      1.0041E+00      1.1181E+00      3.8538E-03      8.5331E+01      9.4172E+01      1.0000E+00
      4.4432E-03      1.0656E+00      1.0065E+00      1.1200E+00      4.3384E-03      8.8341E+01      9.1171E+01      1.0000E+00
      4.6704E-03      1.0648E+00      1.0079E+00      1.1336E+00      4.3860E-03      8.6126E+01      9.3110E+01      1.0000E+00
