  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      9.3582E-03      1.0466E+00      1.0203E+00      1.1581E+00      8.7165E-03      8.2159E+01      9.7841E+01      1.0000E+00
      9.9529E-03      1.0024E+00      1.0001E+00      1.0096E+00      9.9058E-03      8.9464E+01      9.0536E+01      1.0000E+00
      9.9919E-03      1.0004E+00      1.0000E+00      1.0016E+00      9.9838E-03      8.9904E+01      9.0096E+01      1.0000E+00
      1.0002E-02      1.0004E+00      1.0000E+00      1.0005E+00      1.0000E-02      8.9904E+01      9.0096E+01      1.0000E+00
      1.0003E-02      1.0004E+00      1.0000E+00      1.0005E+00      1.0000E-02      8.9932E+01      9.0068E+01      1.0000E+00
      1.0003E-02      1.0005E+00      1.0000E+00      1.0006E+00      1.0000E-02      8.9963E+01      9.0037E+01      1.0000E+00
      9.9561E-03      1.1319E+00      1.0501E+00      1.2844E+00      8.7165E-03      7.5100E+01      1.0490E+02      1.0000E+00
      9.9741E-03      1.0056E+00      1.0002E+00      1.0138E+00      9.9058E-03      8.8960E+01      9.1040E+01      1.0000E+00
      9.9929E-03      1.0006E+00      1.0000E+00      1.0018E+00      9.9838E-03      8.9743E+01      9.0257E+01      1.0000E+00
      1.0011E-02      1.0011E+00      1.0000E+00      1.0017E+00      1.0005E-02      8.9847E+01      9.0153E+01      1.0000E+00
      1.0009E-02      1.0008E+00      1.0000E+00      1.0013E+00      1.0005E-02      8.9916E+01      9.0084E+01      1.0000E+00
      1.0010E-02      1.0009E+00      1.0000E+00      1.0014E+00      1.0006E-02      8.9959E+01      9.0041E+01      1.0000E+00
      1.0044E-02      1.1238E+00      1.0341E+00      1.2589E+00      8.8932E-03      7.7591E+01      1.0241E+02      1.0000E+00
      1.0062E-02      1.0051E+00      1.0001E+00      1.0082E+00      1.0042E-02      8.9414E+01      9.0586E+01      1.0000E+00
      1.0017E-02      1.0024E+00      1.0000E+00      1.0033E+00      1.0002E-02      8.9641E+01      9.0359E+01      1.0000E+00
      1.0024E-02      1.0020E+00      1.0000E+00      1.0032E+00      1.0017E-02      8.9817E+01      9.0183E+01      1.0000E+00
      1.0018E-02      1.0013E+00      1.0000E+00      1.0022E+00      1.0013E-02      8.9903E+01      9.0097E+01      1.0000E+00
      1.0017E-02      1.0012E+00      1.0000E+00      1.0021E+00      1.0014E-02      8.9957E+01      9.0043E+01      1.0000E+00
      1.0054E-02      1.1263E+00      1.0389E+00      1.2610E+00      8.8932E-03      7.6589E+01      1.0341E+02      1.0000E+00
      1.0090E-02      1.0054E+00      1.0001E+00      1.0099E+00      1.0082E-02      8.9637E+01      9.0363E+01      1.0000E+00
      1.0042E-02      1.0030E+00      1.0000E+00      1.0051E+00      1.0033E-02      8.9733E+01      9.0267E+01      1.0000E+00
      1.0038E-02      1.0025E+00      1.0000E+00      1.0044E+00      1.0032E-02      8.9838E+01      9.0162E+01      1.0000E+00
      1.0027E-02      1.0018E+00      1.0000E+00      1.0031E+00      1.0022E-02      8.9909E+01      9.0091E+01      1.0000E+00
      1.0025E-02      1.0016E+00      1.0000E+00      1.0028E+00      1.0021E-02      8.9960E+01      9.0040E+01      1.0000E+00
      1.0054E-02      1.1256E+00      1.0362E+00      1.2609E+00      8.8942E-03      7.7129E+01      1.0287E+02      1.0000E+00
      1.0102E-02      1.0054E+00      1.0001E+00      1.0105E+00      1.0099E-02      8.9799E+01      9.0201E+01      1.0000E+00
      1.0055E-02      1.0032E+00      1.0000E+00      1.0060E+00      1.0051E-02      8.9833E+01      9.0167E+01      1.0000E+00
      1.0049E-02      1.0028E+00      1.0000E+00      1.0053E+00      1.0044E-02      8.9882E+01      9.0118E+01      1.0000E+00
      1.0035E-02      1.0021E+00      1.0000E+00      1.0038E+00      1.0031E-02      8.9929E+01      9.0071E+01      1.0000E+00
      1.0031E-02      1.0018E+00      1.0000E+00      1.0034E+00      1.0028E-02      8.9968E+01      9.0032E+01      1.0000E+00
      1.0053E-02      1.1257E+00      1.0375E+00      1.2605E+00      8.8942E-03      7.6854E+01      1.0315E+02      1.0000E+00
      1.0105E-02      1.0053E+00      1.0001E+00      1.0106E+00      1.0105E-02      8.9891E+01      9.0109E+01      1.0000E+00
      1.0062E-02      1.0033E+00      1.0000E+00      1.0064E+00      1.0060E-02      8.9900E+01      9.0100E+01      1.0000E+00
      1.0055E-02      1.0030E+00      1.0000E+00      1.0057E+00      1.0053E-02      8.9925E+01      9.0075E+01      1.0000E+00
      1.0040E-02      1.0022E+00      1.0000E+00      1.0042E+00      1.0038E-02      8.9952E+01      9.0048E+01      1.0000E+00
      1.0036E-02      1.0020E+00      1.0000E+00      1.0038E+00      1.0034E-02      8.9977E+01      9.0023E+01      1.0000E+00
      1.0051E-02      1.1256E+00      1.0369E+00      1.2610E+00      8.8904E-03      7.6991E+01      1.0301E+02      1.0000E+00
      1.0106E-02      1.0053E+00      1.0001E+00      1.0107E+00      1.0106E-02      8.9943E+01      9.0057E+01      1.0000E+00
